GISJOIN,GEOID,TotPop,Allocated
G0100730000300,14000US01073000300,1704,151
G0100730000400,14000US01073000400,3087,235
G0100730000500,14000US01073000500,2635,240
G0100730000700,14000US01073000700,2328,161
G0100730000800,14000US01073000800,3102,242
G0100730001100,14000US01073001100,4485,444
G0100730001200,14000US01073001200,2343,235
G0100730001400,14000US01073001400,1839,107
G0100730001500,14000US01073001500,2464,120
G0100730001600,14000US01073001600,2455,228
G0100730001902,14000US01073001902,1656,84
G0100730002000,14000US01073002000,3681,273
G0100730002100,14000US01073002100,2572,82
G0100730002200,14000US01073002200,2405,253
G0100730002303,14000US01073002303,2715,89
G0100730002305,14000US01073002305,3132,409
G0100730002306,14000US01073002306,3641,120
G0100730002400,14000US01073002400,3591,267
G0100730002700,14000US01073002700,2804,184
G0100730002900,14000US01073002900,1864,155
G0100730003001,14000US01073003001,3247,284
G0100730003002,14000US01073003002,2241,130
G0100730003100,14000US01073003100,3223,235
G0100730003200,14000US01073003200,1038,46
G0100730003300,14000US01073003300,1122,333
G0100730003400,14000US01073003400,1935,237
G0100730003500,14000US01073003500,2338,394
G0100730003600,14000US01073003600,4121,286
G0100730003700,14000US01073003700,4191,341
G0100730003802,14000US01073003802,4837,475
G0100730003803,14000US01073003803,3599,310
G0100730003900,14000US01073003900,1123,26
G0100730004000,14000US01073004000,2437,314
G0100730004200,14000US01073004200,1529,186
G0100730004500,14000US01073004500,4732,557
G0100730004701,14000US01073004701,3404,120
G0100730004702,14000US01073004702,3449,180
G0100730004800,14000US01073004800,2025,46
G0100730004901,14000US01073004901,1123,63
G0100730004902,14000US01073004902,3397,232
G0100730005000,14000US01073005000,3305,213
G0100730005101,14000US01073005101,1172,81
G0100730005103,14000US01073005103,2599,192
G0100730005104,14000US01073005104,2988,199
G0100730005200,14000US01073005200,3591,222
G0100730005302,14000US01073005302,3921,212
G0100730005500,14000US01073005500,1570,304
G0100730005600,14000US01073005600,4216,220
G0100730005701,14000US01073005701,2301,431
G0100730005702,14000US01073005702,2370,188
G0100730005800,14000US01073005800,3655,231
G0100730005903,14000US01073005903,5631,292
G0100730005905,14000US01073005905,6139,450
G0100730005907,14000US01073005907,2350,190
G0100730005908,14000US01073005908,3412,408
G0100730005909,14000US01073005909,2475,278
G0100730005910,14000US01073005910,5299,683
G0100730010001,14000US01073010001,4115,204
G0100730010002,14000US01073010002,4177,329
G0100730010100,14000US01073010100,1303,45
G0100730010200,14000US01073010200,2651,181
G0100730010301,14000US01073010301,2691,240
G0100730010302,14000US01073010302,3385,453
G0100730010401,14000US01073010401,3446,247
G0100730010402,14000US01073010402,2257,200
G0100730010500,14000US01073010500,1183,143
G0100730010602,14000US01073010602,5560,499
G0100730010603,14000US01073010603,2045,173
G0100730010701,14000US01073010701,1320,98
G0100730010702,14000US01073010702,4702,50
G0100730010703,14000US01073010703,2271,213
G0100730010704,14000US01073010704,4827,444
G0100730010705,14000US01073010705,3329,192
G0100730010706,14000US01073010706,4639,489
G0100730010801,14000US01073010801,6399,771
G0100730010802,14000US01073010802,2801,202
G0100730010803,14000US01073010803,6079,330
G0100730010804,14000US01073010804,2746,220
G0100730010805,14000US01073010805,6933,593
G0100730010900,14000US01073010900,4488,651
G0100730011001,14000US01073011001,5474,474
G0100730011002,14000US01073011002,1717,74
G0100730011104,14000US01073011104,7213,410
G0100730011107,14000US01073011107,10631,911
G0100730011108,14000US01073011108,4557,259
G0100730011109,14000US01073011109,3939,206
G0100730011110,14000US01073011110,5273,722
G0100730011111,14000US01073011111,8154,424
G0100730011205,14000US01073011205,1970,175
G0100730011206,14000US01073011206,5161,612
G0100730011207,14000US01073011207,5171,665
G0100730011208,14000US01073011208,3829,548
G0100730011209,14000US01073011209,3205,355
G0100730011210,14000US01073011210,3501,327
G0100730011301,14000US01073011301,3296,379
G0100730011302,14000US01073011302,6239,512
G0100730011400,14000US01073011400,6817,1120
G0100730011500,14000US01073011500,5766,546
G0100730011600,14000US01073011600,3525,117
G0100730011703,14000US01073011703,8820,627
G0100730011704,14000US01073011704,3752,316
G0100730011705,14000US01073011705,6973,385
G0100730011706,14000US01073011706,2174,185
G0100730011802,14000US01073011802,6750,459
G0100730011803,14000US01073011803,3858,299
G0100730011804,14000US01073011804,2533,169
G0100730011901,14000US01073011901,2303,140
G0100730011904,14000US01073011904,2180,164
G0100730012001,14000US01073012001,3767,449
G0100730012002,14000US01073012002,7253,672
G0100730012103,14000US01073012103,3979,255
G0100730012104,14000US01073012104,2248,196
G0100730012200,14000US01073012200,2365,204
G0100730012302,14000US01073012302,3821,247
G0100730012304,14000US01073012304,2228,147
G0100730012305,14000US01073012305,7290,753
G0100730012401,14000US01073012401,3658,396
G0100730012402,14000US01073012402,2347,445
G0100730012403,14000US01073012403,2987,134
G0100730012500,14000US01073012500,3522,328
G0100730012602,14000US01073012602,2568,88
G0100730012701,14000US01073012701,3520,214
G0100730012703,14000US01073012703,5665,304
G0100730012704,14000US01073012704,2307,115
G0100730012802,14000US01073012802,2272,96
G0100730012803,14000US01073012803,4264,309
G0100730012905,14000US01073012905,3814,216
G0100730012906,14000US01073012906,5905,572
G0100730012907,14000US01073012907,4401,380
G0100730012908,14000US01073012908,4873,127
G0100730012910,14000US01073012910,3754,345
G0100730012911,14000US01073012911,5105,318
G0100730012912,14000US01073012912,4269,233
G0100730012913,14000US01073012913,3941,494
G0100730012914,14000US01073012914,1885,157
G0100730012915,14000US01073012915,5712,278
G0100730013002,14000US01073013002,1571,161
G0100730013100,14000US01073013100,3562,516
